NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
PLIN2	1	PLIN2	
KIF26B	1	KIF26B	
TBX3	1	TBX3	
DCBLD2	1	DCBLD2	
DNM1	1	DNM1	
GNG2	1	GNG2	
SVEP1	1	SVEP1	
F2RL1	1	F2RL1	
CHRNA1	1	CHRNA1	
PODN	1	PODN	
DUSP6	1	DUSP6	
MARCKSL1	1	MARCKSL1	
HIC1	1	HIC1	
PLPP3	1	PLPP3	
UNC5B	1	UNC5B	
CAPN5	1	CAPN5	
SFRP1	1	SFRP1	
RNF24	1	RNF24	
CTDSP2	1	CTDSP2	
MAP3K14	1	MAP3K14	
TSHZ3	1	TSHZ3	
SPRED1	1	SPRED1	
NREP	1	NREP	
LAMA2	1	LAMA2	
APLP2	1	APLP2	
SPSB1	1	SPSB1	
NR2F1	1	NR2F1	
LTBP1	1	LTBP1	
TLE3	1	TLE3	
ARHGAP25	1	ARHGAP25	
GPR153	1	GPR153	
PHC2	1	PHC2	
MEGF10	1	MEGF10	
OLFML2B	1	OLFML2B	
ZNF608	1	ZNF608	
SNAI2	1	SNAI2	
TRIO	1	TRIO	
DACT3	1	DACT3	
MAST4	1	MAST4	
MMP14	1	MMP14	
RFX8	1	RFX8	
ABHD2	1	ABHD2	
TGFBR2	1	TGFBR2	
NRP2	1	NRP2	
ZNF385D	1	ZNF385D	
CYBA	1	CYBA	
ITGA1	1	ITGA1	
HOXB8	1	HOXB8	
AZIN2	1	AZIN2	
TSKU	1	TSKU	
KCNAB1	1	KCNAB1	
LAMA4	1	LAMA4	
ADAMTS2	1	ADAMTS2	
NID1	1	NID1	
SPRY4	1	SPRY4	
DNM3OS	1	DNM3OS	
SLC18B1	1	SLC18B1	
FNDC4	1	FNDC4	
TRHDE-AS1	1	TRHDE-AS1	
SPHK1	1	SPHK1	
SIPA1	1	SIPA1	
TGM2	1	TGM2	
NPAS2	1	NPAS2	
ADGRL2	1	ADGRL2	
TGFB3	1	TGFB3	
ZCCHC24	1	ZCCHC24	
BVES	1	BVES	
ZMIZ1	1	ZMIZ1	
ASIC1	1	ASIC1	
MN1	1	MN1	
MXRA8	1	MXRA8	
SH3KBP1	1	SH3KBP1	
PDE7B	1	PDE7B	
MAP4K4	1	MAP4K4	
TMEM204	1	TMEM204	
NOTCH1	1	NOTCH1	
SH3PXD2B	1	SH3PXD2B	
FN1	1	FN1	
NBL1	1	NBL1	
COL27A1	1	COL27A1	
CXADR	1	CXADR	
SSC5D	1	SSC5D	
RGS2	1	RGS2	
ARHGAP21	1	ARHGAP21	
PXK	1	PXK	
TNFAIP8L1	1	TNFAIP8L1	
IGSF3	1	IGSF3	
MFAP4	1	MFAP4	
TNFRSF19	1	TNFRSF19	
AMOTL1	1	AMOTL1	
SLC7A8	1	SLC7A8	
UACA	1	UACA	
RHOJ	1	RHOJ	
TNFAIP8L3	1	TNFAIP8L3	
EMILIN1	1	EMILIN1	
CACNB3	1	CACNB3	
PHLDA1	1	PHLDA1	
ADA	1	ADA	
ARAP3	1	ARAP3	
EGR2	1	EGR2	
ALPL	1	ALPL	
NR2F2	1	NR2F2	
MTUS1	1	MTUS1	
CORO2B	1	CORO2B	
TBC1D16	1	TBC1D16	
FUT8	1	FUT8	
POSTN	1	POSTN	
STARD8	1	STARD8	
SLITRK1	1	SLITRK1	
NAB2	1	NAB2	
SOX4	1	SOX4	
NFIX	1	NFIX	
TRIB2	1	TRIB2	
ITGB1	1	ITGB1	
CCL2	1	CCL2	
TMTC2	1	TMTC2	
MICALL2	1	MICALL2	
GAS1	1	GAS1	
MEOX2	1	MEOX2	
L3MBTL3	1	L3MBTL3	
COL7A1	1	COL7A1	
ARHGAP19	1	ARHGAP19	
CSGALNACT1	1	CSGALNACT1	
CDYL2	1	CDYL2	
TENM4	1	TENM4	
ITPKB	1	ITPKB	
IFI16	1	IFI16	
ROBO1	1	ROBO1	
CRACD	1	CRACD	
MRC2	1	MRC2	
GPR68	1	GPR68	
PRKD1	1	PRKD1	
CDH2	1	CDH2	
SOCS5	1	SOCS5	
PIEZO2	1	PIEZO2	
NRP1	1	NRP1	
SLC6A9	1	SLC6A9	
POU2F2	1	POU2F2	
FNBP1L	1	FNBP1L	
BMF	1	BMF	
COL1A2	1	COL1A2	
TMSB4X	1	TMSB4X	
FBLIM1	1	FBLIM1	
KLF13	1	KLF13	
MEIS2	1	MEIS2	
PGF	1	PGF	
KITLG	1	KITLG	
TFPI2	1	TFPI2	
COL15A1	1	COL15A1	
PLAAT4	1	PLAAT4	
PRDM1	1	PRDM1	
SPON2	1	SPON2	
VASH1	1	VASH1	
RGS16	1	RGS16	
GATA3	1	GATA3	
RUNX1	1	RUNX1	
ENSG00000286177	1	LOC105372401	
NRIP1	1	NRIP1	
PAQR8	1	PAQR8	
LINC01929	1	LINC01929	
CDK17	1	CDK17	
TSPAN5	1	TSPAN5	
SERINC5	1	SERINC5	
RCN3	1	RCN3	
STK26	1	STK26	
FOXG1	1	FOXG1	
XAF1	1	XAF1	
CBLB	1	CBLB	
ETHE1	1	ETHE1	
DIRAS3	1	DIRAS3	
RALA	1	RALA	
TSC22D1	1	TSC22D1	
PLAG1	1	PLAG1	
GDF5	1	GDF5	
GNG11	1	GNG11	
IRX3	1	IRX3	
TJP1	1	TJP1	
RESF1	1	RESF1	
RFLNB	1	RFLNB	
SIPA1L1	1	SIPA1L1	
CMKLR1	1	CMKLR1	
SPRY1	1	SPRY1	
EVL	1	EVL	
ANKRD50	1	ANKRD50	
PGM2L1	1	PGM2L1	
PLA2R1	1	PLA2R1	
PRICKLE1	1	PRICKLE1	
NIBAN1	1	NIBAN1	
CHN1	1	CHN1	
SSBP4	1	SSBP4	
EHD3	1	EHD3	
MAF	1	MAF	
RASSF8	1	RASSF8	
CLTC	1	CLTC	
IRX2	1	IRX2	
SMAD1	1	SMAD1	
SH3PXD2A	1	SH3PXD2A	
SH2B3	1	SH2B3	
BGN	1	BGN	
HTRA1	1	HTRA1	
COL3A1	1	COL3A1	
DHRS3	1	DHRS3	
SPRED2	1	SPRED2	
SESN3	1	SESN3	
FMNL3	1	FMNL3	
PPP3CA	1	PPP3CA	
DDIT4L	1	DDIT4L	
TMEM35A	1	TMEM35A	
PLXDC1	1	PLXDC1	
LRIG1	1	LRIG1	
GLIPR2	1	GLIPR2	
C12orf57	1	C12orf57	
CXCL12	1	CXCL12	
DOCK4	1	DOCK4	
GNB3	1	GNB3	
MAN1A1	1	MAN1A1	
ELK3	1	ELK3	
TRAF5	1	TRAF5	
TNC	1	TNC	
L1CAM	1	L1CAM	
STX1A	1	STX1A	
TFEB	1	TFEB	
KCNK2	1	KCNK2	
FAP	1	FAP	
SEMA7A	1	SEMA7A	
NR3C1	1	NR3C1	
MSR1	1	MSR1	
APOD	1	APOD	
ADAMTSL1	1	ADAMTSL1	
RPAP1	1	RPAP1	
RAB3IL1	1	RAB3IL1	
BMP2	1	BMP2	
SOGA3	1	SOGA3	
CD44	1	CD44	
RASA3	1	RASA3	
HCFC1R1	1	HCFC1R1	
ANK3	1	ANK3	
ARHGEF6	1	ARHGEF6	
PSD3	1	PSD3	
CEP170	1	CEP170	
EPHB3	1	EPHB3	
CTHRC1	1	CTHRC1	
EHD4	1	EHD4	
TNFSF10	1	TNFSF10	
CPE	1	CPE	
BLOC1S6	1	BLOC1S6	
FRMD6	1	FRMD6	
SLIT2	1	SLIT2	
ADAMTS10	1	ADAMTS10	
OSBPL5	1	OSBPL5	
PCDHA6	1	PCDHA6	
GPR161	1	GPR161	
PCDH10	1	PCDH10	
PITPNC1	1	PITPNC1	
ROR2	1	ROR2	
STC1	1	STC1	
SMAD7	1	SMAD7	
BICC1	1	BICC1	
ADD3	1	ADD3	
MBOAT1	1	MBOAT1	
EMC4	1	EMC4	
GLI3	1	GLI3	
SOBP	1	SOBP	
CMBL	1	CMBL	
BMERB1	1	BMERB1	
AK5	1	AK5	
ITGA2	1	ITGA2	
SVIL	1	SVIL	
COL6A3	1	COL6A3	
TGFBI	1	TGFBI	
TP53I11	1	TP53I11	
RAB13	1	RAB13	
VAMP5	1	VAMP5	
PXYLP1	1	PXYLP1	
GAS7	1	GAS7	
TNS2	1	TNS2	
CASK	1	CASK	
NUMBL	1	NUMBL	
ZNF92	1	ZNF92	
CLEC2B	1	CLEC2B	
FIBIN	1	FIBIN	
HERC2	1	HERC2	
MMS19	1	MMS19	
BCL3	1	BCL3	
GALNT12	1	GALNT12	
OSBPL6	1	OSBPL6	
F2R	1	F2R	
SAMD11	1	SAMD11	
LEF1	1	LEF1	
SHROOM4	1	SHROOM4	
SPG11	1	SPG11	
INO80	1	INO80	
PECAM1	1	PECAM1	
IL27RA	1	IL27RA	
HIP1	1	HIP1	
TMOD1	1	TMOD1	
NOTCH2	1	NOTCH2	
FAM171A2	1	FAM171A2	
CHSY3	1	CHSY3	
PLCB1	1	PLCB1	
ETV6	1	ETV6	
RIN2	1	RIN2	
SRPX2	1	SRPX2	
PLEKHG2	1	PLEKHG2	
PCSK5	1	PCSK5	
TCF12	1	TCF12	
AKR1C3	1	AKR1C3	
SLC22A17	1	SLC22A17	
NCAM2	1	NCAM2	
CROCC	1	CROCC	
WIPF1	1	WIPF1	
EML4	1	EML4	
NDRG4	1	NDRG4	
ZNF469	1	ZNF469	
TGFB1	1	TGFB1	
P3H3	1	P3H3	
CCDC74A	1	CCDC74A	
EBF2	1	EBF2	
METTL7A	1	METTL7A	
CLEC14A	1	CLEC14A	
TIMP1	1	TIMP1	
SIGLEC15	1	SIGLEC15	
HOXB9	1	HOXB9	
CSRP2	1	CSRP2	
CREB3L2	1	CREB3L2	
ARHGAP44	1	ARHGAP44	
PCDHGB7	1	PCDHGB7	
BBOF1	1	BBOF1	
PDGFRA	1	PDGFRA	
PDE8A	1	PDE8A	
LIMD2	1	LIMD2	
LAMC1	1	LAMC1	
VPS39	1	VPS39	
SERPINH1	1	SERPINH1	
NET1	1	NET1	
LSP1	1	LSP1	
ANPEP	1	ANPEP	
FMNL2	1	FMNL2	
PFKFB3	1	PFKFB3	
ADA2	1	ADA2	
CFI	1	CFI	
KANK2	1	KANK2	
COL5A3	1	COL5A3	
EMP1	1	EMP1	
SERPINI1	1	SERPINI1	
PTHLH	1	PTHLH	
CCDC57	1	CCDC57	
TIMP3	1	TIMP3	
ADAM19	1	ADAM19	
RGL2	1	RGL2	
ZYX	1	ZYX	
KIAA1755	1	KIAA1755	
KCNN4	1	KCNN4	
XYLT1	1	XYLT1	
TTC31	1	TTC31	
TMEM132B	1	TMEM132B	
ANP32A	1	ANP32A	
MIAT	1	MIAT	
CLMP	1	CLMP	
PDE4D	1	PDE4D	
COL5A1	1	COL5A1	
PLEKHA4	1	PLEKHA4	
JCAD	1	JCAD	
SIRPB1	1	SIRPB1	
CYGB	1	CYGB	
PDLIM5	1	PDLIM5	
PHGDH	1	PHGDH	
RNASE4	1	RNASE4	
STEAP3	1	STEAP3	
CRISPLD2	1	CRISPLD2	
PKIA	1	PKIA	
PDGFC	1	PDGFC	
SELENOP	1	SELENOP	
MCRIP1	1	MCRIP1	
NAB1	1	NAB1	
GIMAP6	1	GIMAP6	
CHST11	1	CHST11	
MFAP2	1	MFAP2	
ICOSLG	1	ICOSLG	
CACNG8	1	CACNG8	
SLK	1	SLK	
SBF2	1	SBF2	
SEPTIN9	1	SEPTIN9	
WT1	1	WT1	
CARD10	1	CARD10	
ADCY1	1	ADCY1	
LOXL3	1	LOXL3	
LRP1	1	LRP1	
GSTM2	1	GSTM2	
DDHD1	1	DDHD1	
RGMB	1	RGMB	
SLC44A1	1	SLC44A1	
AKTIP	1	AKTIP	
KCTD12	1	KCTD12	
CYFIP1	1	CYFIP1	
EDEM3	1	EDEM3	
PELI2	1	PELI2	
ZNF703	1	ZNF703	
KANSL3	1	KANSL3	
